name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Kato Soulion,38.168,24.016,2019-05-01,0,11,10,WSW,68,10
Kato Soulion,38.168,24.016,2019-05-01,300,9,9,W,70,10
Kato Soulion,38.168,24.016,2019-05-01,600,11,8,W,57,10
Kato Soulion,38.168,24.016,2019-05-01,900,15,6,S,44,10
Kato Soulion,38.168,24.016,2019-05-01,1200,16,7,SE,43,10
Kato Soulion,38.168,24.016,2019-05-01,1500,16,9,E,43,10
Kato Soulion,38.168,24.016,2019-05-01,1800,14,5,SSE,57,10
Kato Soulion,38.168,24.016,2019-05-01,2100,11,5,SW,60,10
Kato Soulion,38.168,24.016,2019-05-02,0,9,11,WSW,66,10
Kato Soulion,38.168,24.016,2019-05-02,300,8,11,W,73,10
Kato Soulion,38.168,24.016,2019-05-02,600,10,10,WNW,59,10
Kato Soulion,38.168,24.016,2019-05-02,900,14,11,WNW,47,10
Kato Soulion,38.168,24.016,2019-05-02,1200,16,9,W,48,10
Kato Soulion,38.168,24.016,2019-05-02,1500,17,8,WSW,50,10
Kato Soulion,38.168,24.016,2019-05-02,1800,15,8,E,63,10
Kato Soulion,38.168,24.016,2019-05-02,2100,12,8,SSE,63,10
Kato Soulion,38.168,24.016,2019-05-03,0,10,10,SW,71,10
Kato Soulion,38.168,24.016,2019-05-03,300,9,10,WSW,77,10
Kato Soulion,38.168,24.016,2019-05-03,600,12,9,WSW,61,10
Kato Soulion,38.168,24.016,2019-05-03,900,17,7,WSW,44,10
Kato Soulion,38.168,24.016,2019-05-03,1200,19,9,SSW,43,10
Kato Soulion,38.168,24.016,2019-05-03,1500,19,11,SSE,43,10
Kato Soulion,38.168,24.016,2019-05-03,1800,16,15,S,57,10
Kato Soulion,38.168,24.016,2019-05-03,2100,13,9,SSW,62,10
Kato Soulion,38.168,24.016,2019-05-04,0,11,7,SSW,66,10
Kato Soulion,38.168,24.016,2019-05-04,300,10,8,SSW,67,10
Kato Soulion,38.168,24.016,2019-05-04,600,12,7,SW,61,10
Kato Soulion,38.168,24.016,2019-05-04,900,16,9,SW,48,10
Kato Soulion,38.168,24.016,2019-05-04,1200,16,12,SSW,55,10
Kato Soulion,38.168,24.016,2019-05-04,1500,15,16,S,62,10
Kato Soulion,38.168,24.016,2019-05-04,1800,14,17,S,67,10
Kato Soulion,38.168,24.016,2019-05-04,2100,12,12,S,74,9
Kato Soulion,38.168,24.016,2019-05-05,0,10,11,S,82,9
Kato Soulion,38.168,24.016,2019-05-05,300,10,10,SSE,89,9
Kato Soulion,38.168,24.016,2019-05-05,600,12,12,SSE,73,9
Kato Soulion,38.168,24.016,2019-05-05,900,17,18,S,55,10
Kato Soulion,38.168,24.016,2019-05-05,1200,20,27,S,61,10
Kato Soulion,38.168,24.016,2019-05-05,1500,20,27,S,67,10
Kato Soulion,38.168,24.016,2019-05-05,1800,16,16,SSW,85,10
Kato Soulion,38.168,24.016,2019-05-05,2100,14,14,SSW,90,10
Kato Soulion,38.168,24.016,2019-05-06,0,12,12,SW,87,10
Kato Soulion,38.168,24.016,2019-05-06,300,10,10,SW,82,10
Kato Soulion,38.168,24.016,2019-05-06,600,12,10,WSW,66,10
Kato Soulion,38.168,24.016,2019-05-06,900,17,12,WSW,50,10
Kato Soulion,38.168,24.016,2019-05-06,1200,18,15,WSW,42,10
Kato Soulion,38.168,24.016,2019-05-06,1500,18,23,WSW,35,10
Kato Soulion,38.168,24.016,2019-05-06,1800,14,23,WSW,51,10
Kato Soulion,38.168,24.016,2019-05-06,2100,11,16,WSW,61,10
Kato Soulion,38.168,24.016,2019-05-07,0,9,16,WSW,65,10
Kato Soulion,38.168,24.016,2019-05-07,300,9,15,SW,65,10
Kato Soulion,38.168,24.016,2019-05-07,600,10,16,WSW,59,10
Kato Soulion,38.168,24.016,2019-05-07,900,13,16,W,52,10
Kato Soulion,38.168,24.016,2019-05-07,1200,14,14,NW,53,10
Kato Soulion,38.168,24.016,2019-05-07,1500,14,13,NNW,55,9
Kato Soulion,38.168,24.016,2019-05-07,1800,11,6,N,62,9
Kato Soulion,38.168,24.016,2019-05-07,2100,10,6,N,64,10
Kato Soulion,38.168,24.016,2019-05-08,0,9,6,WNW,66,10
Kato Soulion,38.168,24.016,2019-05-08,300,8,9,NW,64,10
Kato Soulion,38.168,24.016,2019-05-08,600,10,11,NNW,56,10
Kato Soulion,38.168,24.016,2019-05-08,900,12,14,NNW,51,10
Kato Soulion,38.168,24.016,2019-05-08,1200,13,15,WNW,52,10
Kato Soulion,38.168,24.016,2019-05-08,1500,13,13,WSW,53,10
Kato Soulion,38.168,24.016,2019-05-08,1800,11,8,ENE,65,10
Kato Soulion,38.168,24.016,2019-05-08,2100,9,6,SE,72,10
Kato Soulion,38.168,24.016,2019-05-09,0,8,7,SSE,79,10
Kato Soulion,38.168,24.016,2019-05-09,300,8,6,S,82,10
Kato Soulion,38.168,24.016,2019-05-09,600,10,6,SSW,71,10
Kato Soulion,38.168,24.016,2019-05-09,900,15,7,S,57,10
Kato Soulion,38.168,24.016,2019-05-09,1200,17,11,S,54,10
Kato Soulion,38.168,24.016,2019-05-09,1500,18,15,S,52,10
Kato Soulion,38.168,24.016,2019-05-09,1800,17,17,S,64,10
Kato Soulion,38.168,24.016,2019-05-09,2100,14,14,SSW,69,10
Kato Soulion,38.168,24.016,2019-05-10,0,12,12,SW,72,10
Kato Soulion,38.168,24.016,2019-05-10,300,11,10,WSW,71,10
Kato Soulion,38.168,24.016,2019-05-10,600,13,8,WSW,57,10
Kato Soulion,38.168,24.016,2019-05-10,900,17,5,S,49,10
Kato Soulion,38.168,24.016,2019-05-10,1200,18,8,SE,53,10
Kato Soulion,38.168,24.016,2019-05-10,1500,18,6,ENE,56,10
Kato Soulion,38.168,24.016,2019-05-10,1800,15,11,ESE,65,10
Kato Soulion,38.168,24.016,2019-05-10,2100,13,7,SE,65,10
Kato Soulion,38.168,24.016,2019-05-11,0,12,4,SSW,67,10
Kato Soulion,38.168,24.016,2019-05-11,300,11,5,WNW,69,10
Kato Soulion,38.168,24.016,2019-05-11,600,13,10,NNW,63,10
Kato Soulion,38.168,24.016,2019-05-11,900,17,14,NNW,53,10
Kato Soulion,38.168,24.016,2019-05-11,1200,18,12,WNW,49,10
Kato Soulion,38.168,24.016,2019-05-11,1500,18,11,WSW,44,10
Kato Soulion,38.168,24.016,2019-05-11,1800,16,6,NE,60,10
Kato Soulion,38.168,24.016,2019-05-11,2100,13,5,SE,73,10
Kato Soulion,38.168,24.016,2019-05-12,0,12,8,SSW,79,10
Kato Soulion,38.168,24.016,2019-05-12,300,11,7,SSW,80,10
Kato Soulion,38.168,24.016,2019-05-12,600,14,7,SSW,63,10
Kato Soulion,38.168,24.016,2019-05-12,900,19,9,S,50,10
Kato Soulion,38.168,24.016,2019-05-12,1200,20,13,S,48,10
Kato Soulion,38.168,24.016,2019-05-12,1500,21,17,SSE,47,10
Kato Soulion,38.168,24.016,2019-05-12,1800,16,17,SSE,60,10
Kato Soulion,38.168,24.016,2019-05-12,2100,15,9,S,64,10
Kato Soulion,38.168,24.016,2019-05-13,0,12,7,S,68,10
Kato Soulion,38.168,24.016,2019-05-13,300,11,7,S,68,10
Kato Soulion,38.168,24.016,2019-05-13,600,14,7,SSE,55,10
Kato Soulion,38.168,24.016,2019-05-13,900,18,10,SSE,43,9
Kato Soulion,38.168,24.016,2019-05-13,1200,19,12,SSE,48,10
Kato Soulion,38.168,24.016,2019-05-13,1500,18,16,SSE,53,10
Kato Soulion,38.168,24.016,2019-05-13,1800,15,17,SSE,73,9
Kato Soulion,38.168,24.016,2019-05-13,2100,12,12,SE,80,9
Kato Soulion,38.168,24.016,2019-05-14,0,11,11,SE,82,9
Kato Soulion,38.168,24.016,2019-05-14,300,11,8,ESE,82,10
Kato Soulion,38.168,24.016,2019-05-14,600,14,9,E,73,10
Kato Soulion,38.168,24.016,2019-05-14,900,17,9,ESE,58,10
Kato Soulion,38.168,24.016,2019-05-14,1200,19,17,SE,56,10
Kato Soulion,38.168,24.016,2019-05-14,1500,20,20,S,54,10
Kato Soulion,38.168,24.016,2019-05-14,1800,16,19,SSE,73,10
Kato Soulion,38.168,24.016,2019-05-14,2100,14,9,S,86,10
Kato Soulion,38.168,24.016,2019-05-15,0,12,10,SSW,90,10
Kato Soulion,38.168,24.016,2019-05-15,300,11,6,SW,91,10
Kato Soulion,38.168,24.016,2019-05-15,600,13,5,WNW,76,10
Kato Soulion,38.168,24.016,2019-05-15,900,17,6,WSW,64,10
