name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Melissia,38.05,23.833,2019-05-01,0,16,12,WNW,59,10
Melissia,38.05,23.833,2019-05-01,300,14,12,WNW,59,10
Melissia,38.05,23.833,2019-05-01,600,14,9,WNW,47,10
Melissia,38.05,23.833,2019-05-01,900,18,8,W,34,10
Melissia,38.05,23.833,2019-05-01,1200,20,11,WSW,34,10
Melissia,38.05,23.833,2019-05-01,1500,20,15,SSW,35,10
Melissia,38.05,23.833,2019-05-01,1800,17,10,WSW,52,10
Melissia,38.05,23.833,2019-05-01,2100,15,10,W,51,10
Melissia,38.05,23.833,2019-05-02,0,15,15,W,57,10
Melissia,38.05,23.833,2019-05-02,300,13,14,WNW,64,10
Melissia,38.05,23.833,2019-05-02,600,14,11,WNW,54,10
Melissia,38.05,23.833,2019-05-02,900,18,9,NW,40,10
Melissia,38.05,23.833,2019-05-02,1200,20,9,WSW,40,10
Melissia,38.05,23.833,2019-05-02,1500,20,10,SSW,39,10
Melissia,38.05,23.833,2019-05-02,1800,19,10,S,51,10
Melissia,38.05,23.833,2019-05-02,2100,17,8,SSW,61,10
Melissia,38.05,23.833,2019-05-03,0,15,8,WSW,66,10
Melissia,38.05,23.833,2019-05-03,300,14,9,W,70,10
Melissia,38.05,23.833,2019-05-03,600,15,9,WNW,57,10
Melissia,38.05,23.833,2019-05-03,900,20,8,W,40,10
Melissia,38.05,23.833,2019-05-03,1200,22,14,SW,42,10
Melissia,38.05,23.833,2019-05-03,1500,21,19,SSW,44,10
Melissia,38.05,23.833,2019-05-03,1800,18,18,S,56,10
Melissia,38.05,23.833,2019-05-03,2100,17,10,S,63,10
Melissia,38.05,23.833,2019-05-04,0,16,6,S,66,10
Melissia,38.05,23.833,2019-05-04,300,15,4,SSW,70,10
Melissia,38.05,23.833,2019-05-04,600,16,4,WSW,57,10
Melissia,38.05,23.833,2019-05-04,900,19,8,WSW,53,10
Melissia,38.05,23.833,2019-05-04,1200,17,11,SW,54,10
Melissia,38.05,23.833,2019-05-04,1500,17,14,SSW,56,10
Melissia,38.05,23.833,2019-05-04,1800,16,15,S,59,10
Melissia,38.05,23.833,2019-05-04,2100,16,17,S,70,10
Melissia,38.05,23.833,2019-05-05,0,14,9,SSE,78,10
Melissia,38.05,23.833,2019-05-05,300,14,9,SSE,84,10
Melissia,38.05,23.833,2019-05-05,600,15,14,SSE,68,10
Melissia,38.05,23.833,2019-05-05,900,21,19,SSE,53,10
Melissia,38.05,23.833,2019-05-05,1200,21,27,S,61,10
Melissia,38.05,23.833,2019-05-05,1500,21,27,S,68,10
Melissia,38.05,23.833,2019-05-05,1800,18,14,SSW,84,10
Melissia,38.05,23.833,2019-05-05,2100,18,9,SW,84,10
Melissia,38.05,23.833,2019-05-06,0,17,9,WSW,79,10
Melissia,38.05,23.833,2019-05-06,300,15,9,W,76,10
Melissia,38.05,23.833,2019-05-06,600,15,11,W,58,10
Melissia,38.05,23.833,2019-05-06,900,20,15,W,40,10
Melissia,38.05,23.833,2019-05-06,1200,21,17,WSW,35,10
Melissia,38.05,23.833,2019-05-06,1500,21,27,SW,30,10
Melissia,38.05,23.833,2019-05-06,1800,18,25,WSW,48,10
Melissia,38.05,23.833,2019-05-06,2100,14,25,W,55,10
Melissia,38.05,23.833,2019-05-07,0,15,21,WSW,58,10
Melissia,38.05,23.833,2019-05-07,300,14,18,WSW,59,10
Melissia,38.05,23.833,2019-05-07,600,14,18,WSW,53,10
Melissia,38.05,23.833,2019-05-07,900,17,22,W,43,10
Melissia,38.05,23.833,2019-05-07,1200,19,19,WNW,43,10
Melissia,38.05,23.833,2019-05-07,1500,18,15,NW,42,10
Melissia,38.05,23.833,2019-05-07,1800,16,10,NW,54,10
Melissia,38.05,23.833,2019-05-07,2100,15,5,NW,61,10
Melissia,38.05,23.833,2019-05-08,0,14,5,NW,65,10
Melissia,38.05,23.833,2019-05-08,300,13,6,NW,66,10
Melissia,38.05,23.833,2019-05-08,600,13,7,NNW,54,10
Melissia,38.05,23.833,2019-05-08,900,17,7,NNW,44,10
Melissia,38.05,23.833,2019-05-08,1200,18,6,WSW,46,10
Melissia,38.05,23.833,2019-05-08,1500,17,5,SE,49,10
Melissia,38.05,23.833,2019-05-08,1800,17,11,SSE,60,10
Melissia,38.05,23.833,2019-05-08,2100,15,9,S,68,10
Melissia,38.05,23.833,2019-05-09,0,14,6,S,74,10
Melissia,38.05,23.833,2019-05-09,300,13,5,SW,79,10
Melissia,38.05,23.833,2019-05-09,600,14,4,SW,67,10
Melissia,38.05,23.833,2019-05-09,900,18,6,SSW,56,10
Melissia,38.05,23.833,2019-05-09,1200,19,13,SSW,54,10
Melissia,38.05,23.833,2019-05-09,1500,19,19,S,52,10
Melissia,38.05,23.833,2019-05-09,1800,17,15,S,61,10
Melissia,38.05,23.833,2019-05-09,2100,17,11,SSW,61,10
Melissia,38.05,23.833,2019-05-10,0,17,9,SW,66,10
Melissia,38.05,23.833,2019-05-10,300,15,9,W,65,10
Melissia,38.05,23.833,2019-05-10,600,16,9,W,52,10
Melissia,38.05,23.833,2019-05-10,900,21,8,WSW,42,10
Melissia,38.05,23.833,2019-05-10,1200,22,9,SSW,44,10
Melissia,38.05,23.833,2019-05-10,1500,22,11,SSE,46,10
Melissia,38.05,23.833,2019-05-10,1800,20,11,SE,59,10
Melissia,38.05,23.833,2019-05-10,2100,18,7,ESE,66,10
Melissia,38.05,23.833,2019-05-11,0,18,4,E,72,10
Melissia,38.05,23.833,2019-05-11,300,16,2,NE,73,10
Melissia,38.05,23.833,2019-05-11,600,16,5,NNE,60,10
