name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Kato Soulion,38.168,24.016,2014-01-01,0,7,10,NNE,88,2
Kato Soulion,38.168,24.016,2014-01-01,300,6,12,NNE,90,2
Kato Soulion,38.168,24.016,2014-01-01,600,6,10,NNE,86,10
Kato Soulion,38.168,24.016,2014-01-01,900,7,13,NNE,82,2
Kato Soulion,38.168,24.016,2014-01-01,1200,7,13,NNE,85,2
Kato Soulion,38.168,24.016,2014-01-01,1500,7,13,N,87,2
Kato Soulion,38.168,24.016,2014-01-01,1800,6,11,N,88,2
Kato Soulion,38.168,24.016,2014-01-01,2100,7,11,N,89,9
Kato Soulion,38.168,24.016,2014-01-02,0,7,12,NNE,89,2
Kato Soulion,38.168,24.016,2014-01-02,300,7,14,N,91,10
Kato Soulion,38.168,24.016,2014-01-02,600,6,14,N,87,10
Kato Soulion,38.168,24.016,2014-01-02,900,7,12,N,81,10
Kato Soulion,38.168,24.016,2014-01-02,1200,8,12,S,80,10
Kato Soulion,38.168,24.016,2014-01-02,1500,8,15,N,80,10
Kato Soulion,38.168,24.016,2014-01-02,1800,6,8,NNW,86,10
Kato Soulion,38.168,24.016,2014-01-02,2100,6,9,NNW,87,10
Kato Soulion,38.168,24.016,2014-01-03,0,5,7,NNW,87,10
Kato Soulion,38.168,24.016,2014-01-03,300,5,7,NNW,87,10
Kato Soulion,38.168,24.016,2014-01-03,600,4,5,NW,88,10
Kato Soulion,38.168,24.016,2014-01-03,900,7,9,NNW,73,10
Kato Soulion,38.168,24.016,2014-01-03,1200,8,9,NNW,77,10
Kato Soulion,38.168,24.016,2014-01-03,1500,8,10,N,81,10
Kato Soulion,38.168,24.016,2014-01-03,1800,7,9,NNW,87,10
Kato Soulion,38.168,24.016,2014-01-03,2100,6,8,NNW,89,10
Kato Soulion,38.168,24.016,2014-01-04,0,6,7,N,89,10
Kato Soulion,38.168,24.016,2014-01-04,300,6,9,N,89,10
Kato Soulion,38.168,24.016,2014-01-04,600,6,8,NNW,88,10
