name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Skourta,38.21,23.55,2014-01-01,0,9,13,N,85,10
Skourta,38.21,23.55,2014-01-01,300,9,13,NNW,89,10
Skourta,38.21,23.55,2014-01-01,600,8,12,NNW,88,10
Skourta,38.21,23.55,2014-01-01,900,9,11,NNE,87,9
Skourta,38.21,23.55,2014-01-01,1200,10,11,NNE,81,9
Skourta,38.21,23.55,2014-01-01,1500,10,14,N,86,10
Skourta,38.21,23.55,2014-01-01,1800,9,12,N,88,10
Skourta,38.21,23.55,2014-01-01,2100,9,15,N,89,9
Skourta,38.21,23.55,2014-01-02,0,9,15,NNE,88,10
Skourta,38.21,23.55,2014-01-02,300,10,16,NNW,91,10
Skourta,38.21,23.55,2014-01-02,600,9,13,N,90,10
Skourta,38.21,23.55,2014-01-02,900,10,14,N,80,10
Skourta,38.21,23.55,2014-01-02,1200,11,7,N,71,10
Skourta,38.21,23.55,2014-01-02,1500,11,10,N,73,10
Skourta,38.21,23.55,2014-01-02,1800,9,9,N,80,10
Skourta,38.21,23.55,2014-01-02,2100,9,7,NNW,83,10
Skourta,38.21,23.55,2014-01-03,0,9,5,N,84,10
Skourta,38.21,23.55,2014-01-03,300,8,6,N,85,10
Skourta,38.21,23.55,2014-01-03,600,8,3,N,86,10
Skourta,38.21,23.55,2014-01-03,900,9,6,N,76,10
Skourta,38.21,23.55,2014-01-03,1200,12,5,NNE,67,10
Skourta,38.21,23.55,2014-01-03,1500,12,5,N,73,10
Skourta,38.21,23.55,2014-01-03,1800,11,6,N,80,10
Skourta,38.21,23.55,2014-01-03,2100,10,8,N,84,10
Skourta,38.21,23.55,2014-01-04,0,10,8,NNE,86,10
Skourta,38.21,23.55,2014-01-04,300,7,9,N,89,10
Skourta,38.21,23.55,2014-01-04,600,7,8,N,89,10
Skourta,38.21,23.55,2014-01-04,900,9,9,NNW,77,10
Skourta,38.21,23.55,2014-01-04,1200,13,8,N,66,10
Skourta,38.21,23.55,2014-01-04,1500,13,6,NNW,72,10
Skourta,38.21,23.55,2014-01-04,1800,11,5,N,79,10
Skourta,38.21,23.55,2014-01-04,2100,11,2,NNE,81,10
Skourta,38.21,23.55,2014-01-05,0,10,1,NNW,81,10
Skourta,38.21,23.55,2014-01-05,300,10,4,SSW,80,10
