name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Pevkofiton,38.17,23.883,2014-01-01,0,10,14,N,86,2
Pevkofiton,38.17,23.883,2014-01-01,300,8,12,N,88,2
Pevkofiton,38.17,23.883,2014-01-01,600,9,12,N,86,10
Pevkofiton,38.17,23.883,2014-01-01,900,10,13,NNE,84,9
Pevkofiton,38.17,23.883,2014-01-01,1200,10,14,NNE,84,6
Pevkofiton,38.17,23.883,2014-01-01,1500,10,15,NNE,84,2
Pevkofiton,38.17,23.883,2014-01-01,1800,9,14,NNE,87,10
Pevkofiton,38.17,23.883,2014-01-01,2100,9,17,N,88,9
Pevkofiton,38.17,23.883,2014-01-02,0,10,17,NNE,88,9
Pevkofiton,38.17,23.883,2014-01-02,300,9,18,NNW,90,10
Pevkofiton,38.17,23.883,2014-01-02,600,9,17,N,89,10
Pevkofiton,38.17,23.883,2014-01-02,900,10,14,N,79,10
Pevkofiton,38.17,23.883,2014-01-02,1200,11,15,N,76,10
Pevkofiton,38.17,23.883,2014-01-02,1500,11,13,N,74,10
Pevkofiton,38.17,23.883,2014-01-02,1800,10,12,NNW,81,10
Pevkofiton,38.17,23.883,2014-01-02,2100,9,9,NNW,83,10
Pevkofiton,38.17,23.883,2014-01-03,0,8,6,N,84,10
Pevkofiton,38.17,23.883,2014-01-03,300,7,7,N,85,10
Pevkofiton,38.17,23.883,2014-01-03,600,7,4,NNW,86,10
Pevkofiton,38.17,23.883,2014-01-03,900,9,8,N,73,10
Pevkofiton,38.17,23.883,2014-01-03,1200,11,7,S,73,10
Pevkofiton,38.17,23.883,2014-01-03,1500,11,7,N,74,10
Pevkofiton,38.17,23.883,2014-01-03,1800,10,8,NNW,81,10
Pevkofiton,38.17,23.883,2014-01-03,2100,9,9,N,85,10
Pevkofiton,38.17,23.883,2014-01-04,0,8,9,N,87,10
Pevkofiton,38.17,23.883,2014-01-04,300,7,10,N,88,10
Pevkofiton,38.17,23.883,2014-01-04,600,6,9,N,88,10
Pevkofiton,38.17,23.883,2014-01-04,900,9,11,N,74,10
Pevkofiton,38.17,23.883,2014-01-04,1200,12,10,N,74,10
Pevkofiton,38.17,23.883,2014-01-04,1500,12,8,N,74,10
Pevkofiton,38.17,23.883,2014-01-04,1800,10,7,N,82,10
Pevkofiton,38.17,23.883,2014-01-04,2100,10,4,N,84,10
Pevkofiton,38.17,23.883,2014-01-05,0,9,3,NNW,84,10
Pevkofiton,38.17,23.883,2014-01-05,300,8,3,SSW,83,10
Pevkofiton,38.17,23.883,2014-01-05,600,7,6,S,83,10
Pevkofiton,38.17,23.883,2014-01-05,900,10,6,SSW,72,10
Pevkofiton,38.17,23.883,2014-01-05,1200,13,12,S,75,10
Pevkofiton,38.17,23.883,2014-01-05,1500,12,15,S,79,10
Pevkofiton,38.17,23.883,2014-01-05,1800,12,13,S,85,10
Pevkofiton,38.17,23.883,2014-01-05,2100,10,14,S,86,10
Pevkofiton,38.17,23.883,2014-01-06,0,10,14,SSW,85,10
Pevkofiton,38.17,23.883,2014-01-06,300,11,17,S,83,10
Pevkofiton,38.17,23.883,2014-01-06,600,11,14,S,83,10
Pevkofiton,38.17,23.883,2014-01-06,900,12,16,SSE,76,2
Pevkofiton,38.17,23.883,2014-01-06,1200,14,13,SE,76,6
Pevkofiton,38.17,23.883,2014-01-06,1500,14,13,SE,76,10
Pevkofiton,38.17,23.883,2014-01-06,1800,13,9,ESE,79,10
Pevkofiton,38.17,23.883,2014-01-06,2100,12,6,E,78,10
Pevkofiton,38.17,23.883,2014-01-07,0,10,7,NE,80,10
