name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Kato Soulion,38.168,24.016,2014-01-01,0,7,10,25,88,2,0
Kato Soulion,38.168,24.016,2014-01-01,300,6,12,25,90,2,0
Kato Soulion,38.168,24.016,2014-01-01,600,6,10,25,86,10,0
Kato Soulion,38.168,24.016,2014-01-01,900,7,13,25,82,2,0
Kato Soulion,38.168,24.016,2014-01-01,1200,7,13,25,85,2,0
Kato Soulion,38.168,24.016,2014-01-01,1500,7,13,360,87,2,0
Kato Soulion,38.168,24.016,2014-01-01,1800,6,11,360,88,2,0
Kato Soulion,38.168,24.016,2014-01-01,2100,7,11,360,89,9,0
Kato Soulion,38.168,24.016,2014-01-02,0,7,12,25,89,2,0
Kato Soulion,38.168,24.016,2014-01-02,300,7,14,360,91,10,0
Kato Soulion,38.168,24.016,2014-01-02,600,6,14,360,87,10,0
Kato Soulion,38.168,24.016,2014-01-02,900,7,12,360,81,10,0
Kato Soulion,38.168,24.016,2014-01-02,1200,8,12,180,80,10,0
Kato Soulion,38.168,24.016,2014-01-02,1500,8,15,360,80,10,0
Kato Soulion,38.168,24.016,2014-01-02,1800,6,8,335,86,10,0
Kato Soulion,38.168,24.016,2014-01-02,2100,6,9,335,87,10,0
Kato Soulion,38.168,24.016,2014-01-03,0,5,7,335,87,10,0
Kato Soulion,38.168,24.016,2014-01-03,300,5,7,335,87,10,0
Kato Soulion,38.168,24.016,2014-01-03,600,4,5,315,88,10,0
Kato Soulion,38.168,24.016,2014-01-03,900,7,9,335,73,10,0
Kato Soulion,38.168,24.016,2014-01-03,1200,8,9,335,77,10,0
Kato Soulion,38.168,24.016,2014-01-03,1500,8,10,360,81,10,0
Kato Soulion,38.168,24.016,2014-01-03,1800,7,9,335,87,10,0
Kato Soulion,38.168,24.016,2014-01-03,2100,6,8,335,89,10,0
Kato Soulion,38.168,24.016,2014-01-04,0,6,7,360,89,10,0
Kato Soulion,38.168,24.016,2014-01-04,300,6,9,360,89,10,0
Kato Soulion,38.168,24.016,2014-01-04,600,6,8,335,88,10,0
Kato Soulion,38.168,24.016,2014-01-04,900,8,11,335,75,10,0
Kato Soulion,38.168,24.016,2014-01-04,1200,9,10,335,78,10,0
Kato Soulion,38.168,24.016,2014-01-04,1500,9,9,360,81,10,0
Kato Soulion,38.168,24.016,2014-01-04,1800,7,5,360,87,10,0
Kato Soulion,38.168,24.016,2014-01-04,2100,6,2,335,89,10,0
Kato Soulion,38.168,24.016,2014-01-05,0,6,1,270,88,10,0
Kato Soulion,38.168,24.016,2014-01-05,300,6,4,180,87,10,0
Kato Soulion,38.168,24.016,2014-01-05,600,5,8,180,84,10,0
Kato Soulion,38.168,24.016,2014-01-05,900,7,7,180,70,10,0
Kato Soulion,38.168,24.016,2014-01-05,1200,9,11,180,73,10,0
Kato Soulion,38.168,24.016,2014-01-05,1500,10,12,180,76,10,0
Kato Soulion,38.168,24.016,2014-01-05,1800,9,13,180,85,10,0
Kato Soulion,38.168,24.016,2014-01-05,2100,8,10,180,88,10,0
Kato Soulion,38.168,24.016,2014-01-06,0,8,12,180,88,10,0
Kato Soulion,38.168,24.016,2014-01-06,300,7,13,180,87,10,0
Kato Soulion,38.168,24.016,2014-01-06,600,8,10,180,86,10,0
Kato Soulion,38.168,24.016,2014-01-06,900,9,11,155,73,10,0
Kato Soulion,38.168,24.016,2014-01-06,1200,11,13,135,74,10,0
Kato Soulion,38.168,24.016,2014-01-06,1500,11,11,135,76,10,0
Kato Soulion,38.168,24.016,2014-01-06,1800,9,9,115,84,10,0
Kato Soulion,38.168,24.016,2014-01-06,2100,9,8,90,83,10,0
Kato Soulion,38.168,24.016,2014-01-07,0,9,6,90,84,10,0
Kato Soulion,38.168,24.016,2014-01-07,300,8,7,45,87,10,0
Kato Soulion,38.168,24.016,2014-01-07,600,8,11,25,89,10,0
Kato Soulion,38.168,24.016,2014-01-07,900,9,9,25,79,2,0
Kato Soulion,38.168,24.016,2014-01-07,1200,10,13,25,80,6,0
Kato Soulion,38.168,24.016,2014-01-07,1500,10,14,25,82,10,0
Kato Soulion,38.168,24.016,2014-01-07,1800,9,12,360,90,10,0
Kato Soulion,38.168,24.016,2014-01-07,2100,8,12,335,88,10,0
Kato Soulion,38.168,24.016,2014-01-08,0,8,12,360,84,10,0
Kato Soulion,38.168,24.016,2014-01-08,300,8,13,335,85,10,0
Kato Soulion,38.168,24.016,2014-01-08,600,8,14,360,86,10,0
Kato Soulion,38.168,24.016,2014-01-08,900,9,17,360,82,2,0
Kato Soulion,38.168,24.016,2014-01-08,1200,10,19,360,81,6,0
Kato Soulion,38.168,24.016,2014-01-08,1500,10,22,360,81,10,0
Kato Soulion,38.168,24.016,2014-01-08,1800,9,13,360,83,10,0
Kato Soulion,38.168,24.016,2014-01-08,2100,8,12,360,84,10,0
Kato Soulion,38.168,24.016,2014-01-09,0,8,11,360,85,10,0
Kato Soulion,38.168,24.016,2014-01-09,300,8,12,360,84,10,0
Kato Soulion,38.168,24.016,2014-01-09,600,8,10,360,84,10,0
Kato Soulion,38.168,24.016,2014-01-09,900,9,12,360,76,10,0
Kato Soulion,38.168,24.016,2014-01-09,1200,11,15,180,78,10,0
Kato Soulion,38.168,24.016,2014-01-09,1500,11,12,360,81,10,0
Kato Soulion,38.168,24.016,2014-01-09,1800,8,6,360,87,10,0
Kato Soulion,38.168,24.016,2014-01-09,2100,8,3,315,88,10,0
Kato Soulion,38.168,24.016,2014-01-10,0,7,4,205,87,10,0
Kato Soulion,38.168,24.016,2014-01-10,300,6,6,205,85,10,0
Kato Soulion,38.168,24.016,2014-01-10,600,5,6,205,84,10,0
Kato Soulion,38.168,24.016,2014-01-10,900,9,10,205,70,10,0
Kato Soulion,38.168,24.016,2014-01-10,1200,11,8,205,71,10,0
Kato Soulion,38.168,24.016,2014-01-10,1500,12,5,205,72,10,0
Kato Soulion,38.168,24.016,2014-01-10,1800,10,7,205,77,10,0
Kato Soulion,38.168,24.016,2014-01-10,2100,9,7,270,78,10,0
Kato Soulion,38.168,24.016,2014-01-11,0,8,8,315,79,10,0
Kato Soulion,38.168,24.016,2014-01-11,300,8,9,315,81,10,0
Kato Soulion,38.168,24.016,2014-01-11,600,7,9,335,82,10,0
Kato Soulion,38.168,24.016,2014-01-11,900,9,11,335,68,10,0
Kato Soulion,38.168,24.016,2014-01-11,1200,10,9,335,73,10,0
Kato Soulion,38.168,24.016,2014-01-11,1500,10,8,335,78,10,0
Kato Soulion,38.168,24.016,2014-01-11,1800,8,3,335,86,10,0
Kato Soulion,38.168,24.016,2014-01-11,2100,7,4,45,85,10,0
Kato Soulion,38.168,24.016,2014-01-12,0,7,6,270,85,10,0
Kato Soulion,38.168,24.016,2014-01-12,300,6,3,270,87,10,0
Kato Soulion,38.168,24.016,2014-01-12,600,6,6,225,87,10,0
Kato Soulion,38.168,24.016,2014-01-12,900,9,5,225,72,10,0
Kato Soulion,38.168,24.016,2014-01-12,1200,10,5,135,77,10,0
