name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Marathonas,38.153,23.963,2014-01-01,0,8,13,360,85,10,0
Marathonas,38.153,23.963,2014-01-01,300,9,13,335,88,10,0
Marathonas,38.153,23.963,2014-01-01,600,9,12,360,87,10,0
Marathonas,38.153,23.963,2014-01-01,900,9,12,25,86,9,0
Marathonas,38.153,23.963,2014-01-01,1200,11,12,25,81,9,0
Marathonas,38.153,23.963,2014-01-01,1500,10,15,360,85,2,0
Marathonas,38.153,23.963,2014-01-01,1800,9,14,360,87,2,0
Marathonas,38.153,23.963,2014-01-01,2100,9,16,360,89,9,0
Marathonas,38.153,23.963,2014-01-02,0,9,15,25,88,9,0
Marathonas,38.153,23.963,2014-01-02,300,10,17,335,90,2,0
Marathonas,38.153,23.963,2014-01-02,600,9,15,360,90,10,0
Marathonas,38.153,23.963,2014-01-02,900,11,16,360,79,10,0
Marathonas,38.153,23.963,2014-01-02,1200,12,9,360,71,10,0
Marathonas,38.153,23.963,2014-01-02,1500,11,11,360,73,10,0
Marathonas,38.153,23.963,2014-01-02,1800,9,10,360,81,10,0
Marathonas,38.153,23.963,2014-01-02,2100,9,8,335,83,10,0
Marathonas,38.153,23.963,2014-01-03,0,8,6,360,84,10,0
Marathonas,38.153,23.963,2014-01-03,300,8,6,360,85,10,0
Marathonas,38.153,23.963,2014-01-03,600,8,3,360,86,10,0
Marathonas,38.153,23.963,2014-01-03,900,9,7,360,74,10,0
Marathonas,38.153,23.963,2014-01-03,1200,12,6,25,66,10,0
Marathonas,38.153,23.963,2014-01-03,1500,12,6,360,73,10,0
Marathonas,38.153,23.963,2014-01-03,1800,10,7,360,80,10,0
Marathonas,38.153,23.963,2014-01-03,2100,10,8,360,85,10,0
Marathonas,38.153,23.963,2014-01-04,0,9,8,25,86,10,0
Marathonas,38.153,23.963,2014-01-04,300,7,10,360,88,10,0
Marathonas,38.153,23.963,2014-01-04,600,6,9,360,89,10,0
Marathonas,38.153,23.963,2014-01-04,900,9,10,335,75,10,0
Marathonas,38.153,23.963,2014-01-04,1200,13,9,360,66,10,0
Marathonas,38.153,23.963,2014-01-04,1500,12,7,360,72,10,0
Marathonas,38.153,23.963,2014-01-04,1800,11,6,360,81,10,0
Marathonas,38.153,23.963,2014-01-04,2100,12,3,360,83,10,0
Marathonas,38.153,23.963,2014-01-05,0,10,2,335,83,10,0
Marathonas,38.153,23.963,2014-01-05,300,9,3,205,82,10,0
Marathonas,38.153,23.963,2014-01-05,600,8,6,180,82,10,0
Marathonas,38.153,23.963,2014-01-05,900,10,6,205,73,10,0
Marathonas,38.153,23.963,2014-01-05,1200,13,11,180,68,10,0
Marathonas,38.153,23.963,2014-01-05,1500,13,14,180,79,10,0
Marathonas,38.153,23.963,2014-01-05,1800,12,12,180,84,10,0
Marathonas,38.153,23.963,2014-01-05,2100,11,13,180,85,10,0
Marathonas,38.153,23.963,2014-01-06,0,10,13,205,85,10,0
Marathonas,38.153,23.963,2014-01-06,300,10,15,180,84,10,0
Marathonas,38.153,23.963,2014-01-06,600,11,18,180,84,10,0
Marathonas,38.153,23.963,2014-01-06,900,12,16,155,78,2,0
Marathonas,38.153,23.963,2014-01-06,1200,14,15,155,76,10,0
Marathonas,38.153,23.963,2014-01-06,1500,14,15,135,78,10,0
Marathonas,38.153,23.963,2014-01-06,1800,13,10,115,81,10,0
Marathonas,38.153,23.963,2014-01-06,2100,12,5,90,78,10,0
Marathonas,38.153,23.963,2014-01-07,0,11,6,45,80,10,0
Marathonas,38.153,23.963,2014-01-07,300,10,11,25,85,10,0
Marathonas,38.153,23.963,2014-01-07,600,10,12,25,89,10,0
Marathonas,38.153,23.963,2014-01-07,900,12,12,25,84,10,0
Marathonas,38.153,23.963,2014-01-07,1200,14,15,25,80,7,0
Marathonas,38.153,23.963,2014-01-07,1500,13,15,25,77,5,0
Marathonas,38.153,23.963,2014-01-07,1800,11,13,360,85,9,0
Marathonas,38.153,23.963,2014-01-07,2100,11,15,360,89,10,0
Marathonas,38.153,23.963,2014-01-08,0,10,12,360,85,10,0
Marathonas,38.153,23.963,2014-01-08,300,10,13,360,82,10,0
Marathonas,38.153,23.963,2014-01-08,600,10,16,360,87,10,0
Marathonas,38.153,23.963,2014-01-08,900,11,19,360,80,10,0
Marathonas,38.153,23.963,2014-01-08,1200,13,20,360,75,10,0
Marathonas,38.153,23.963,2014-01-08,1500,13,19,360,77,10,0
Marathonas,38.153,23.963,2014-01-08,1800,11,16,360,83,10,0
Marathonas,38.153,23.963,2014-01-08,2100,10,16,335,84,10,0
Marathonas,38.153,23.963,2014-01-09,0,9,11,335,85,10,0
Marathonas,38.153,23.963,2014-01-09,300,10,11,335,85,10,0
Marathonas,38.153,23.963,2014-01-09,600,8,14,360,85,10,0
Marathonas,38.153,23.963,2014-01-09,900,11,15,360,73,10,0
Marathonas,38.153,23.963,2014-01-09,1200,15,13,360,64,10,0
Marathonas,38.153,23.963,2014-01-09,1500,16,11,360,70,10,0
Marathonas,38.153,23.963,2014-01-09,1800,14,8,360,81,10,0
Marathonas,38.153,23.963,2014-01-09,2100,13,5,360,84,10,0
Marathonas,38.153,23.963,2014-01-10,0,11,3,205,82,10,0
Marathonas,38.153,23.963,2014-01-10,300,10,6,205,81,10,0
Marathonas,38.153,23.963,2014-01-10,600,10,8,205,81,10,0
Marathonas,38.153,23.963,2014-01-10,900,12,6,205,69,10,0
Marathonas,38.153,23.963,2014-01-10,1200,15,8,205,61,10,0
Marathonas,38.153,23.963,2014-01-10,1500,16,5,205,65,10,0
Marathonas,38.153,23.963,2014-01-10,1800,14,5,205,72,10,0
Marathonas,38.153,23.963,2014-01-10,2100,13,8,315,74,10,0
Marathonas,38.153,23.963,2014-01-11,0,11,10,335,77,10,0
Marathonas,38.153,23.963,2014-01-11,300,9,9,335,79,10,0
Marathonas,38.153,23.963,2014-01-11,600,9,8,360,81,10,0
Marathonas,38.153,23.963,2014-01-11,900,11,8,360,68,10,0
Marathonas,38.153,23.963,2014-01-11,1200,16,3,25,58,10,0
Marathonas,38.153,23.963,2014-01-11,1500,15,3,115,68,10,0
Marathonas,38.153,23.963,2014-01-11,1800,13,5,135,79,10,0
Marathonas,38.153,23.963,2014-01-11,2100,12,6,180,81,10,0
Marathonas,38.153,23.963,2014-01-12,0,12,6,225,83,10,0
Marathonas,38.153,23.963,2014-01-12,300,11,2,225,84,10,0
Marathonas,38.153,23.963,2014-01-12,600,10,5,225,86,10,0
Marathonas,38.153,23.963,2014-01-12,900,11,6,205,74,10,0
Marathonas,38.153,23.963,2014-01-12,1200,14,5,205,67,10,0
Marathonas,38.153,23.963,2014-01-12,1500,15,5,155,74,10,0
Marathonas,38.153,23.963,2014-01-12,1800,12,5,155,84,10,0
Marathonas,38.153,23.963,2014-01-12,2100,11,1,155,86,10,0
Marathonas,38.153,23.963,2014-01-13,0,11,3,90,86,10,0
Marathonas,38.153,23.963,2014-01-13,300,9,5,65,88,10,0
Marathonas,38.153,23.963,2014-01-13,600,10,5,65,89,10,0
Marathonas,38.153,23.963,2014-01-13,900,11,7,65,81,10,0
Marathonas,38.153,23.963,2014-01-13,1200,13,6,25,74,2,0
Marathonas,38.153,23.963,2014-01-13,1500,12,8,45,79,9,0
Marathonas,38.153,23.963,2014-01-13,1800,11,5,45,86,5,0
Marathonas,38.153,23.963,2014-01-13,2100,10,7,45,88,10,0
Marathonas,38.153,23.963,2014-01-14,0,9,6,45,90,10,0
Marathonas,38.153,23.963,2014-01-14,300,9,8,25,92,10,0
Marathonas,38.153,23.963,2014-01-14,600,10,4,25,93,10,0
Marathonas,38.153,23.963,2014-01-14,900,11,7,360,83,10,0
Marathonas,38.153,23.963,2014-01-14,1200,14,4,45,71,10,0
Marathonas,38.153,23.963,2014-01-14,1500,13,3,65,76,10,0
Marathonas,38.153,23.963,2014-01-14,1800,12,3,115,84,10,0
Marathonas,38.153,23.963,2014-01-14,2100,10,3,155,86,10,0
Marathonas,38.153,23.963,2014-01-15,0,11,7,115,88,10,0
Marathonas,38.153,23.963,2014-01-15,300,11,8,155,89,10,0
Marathonas,38.153,23.963,2014-01-15,600,11,9,180,88,10,0
Marathonas,38.153,23.963,2014-01-15,900,13,14,180,76,10,0
