latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.4229,22.9469,315.8,1.2,1.1,2014-01-21,910,Terra,MODIS,76,6.03,290.3,18.6,D,0.0
38.4113,23.0237,302.8,1.0,1.0,2014-01-22,1132,Aqua,MODIS,32,6.03,292.4,3.7,D,0.0
38.4059,23.0491,302.5,1.0,1.0,2014-01-22,1132,Aqua,MODIS,51,6.03,290.5,3.8,D,0.0
38.4651,23.0099,303.4,1.0,1.0,2014-01-22,1132,Aqua,MODIS,56,6.03,290.0,5.2,D,0.0
38.4705,23.0447,301.7,1.0,1.0,2014-01-22,1132,Aqua,MODIS,48,6.03,289.9,4.6,D,0.0
38.4267,23.3009,315.5,1.8,1.3,2014-02-10,1203,Aqua,MODIS,54,6.03,293.1,31.6,D,0.0
38.5614,23.2919,300.5,1.0,1.0,2014-02-14,1138,Aqua,MODIS,33,6.03,288.2,3.9,D,0.0
37.7348,23.0074,300.8,1.0,1.0,2014-02-23,1132,Aqua,MODIS,41,6.03,288.8,4.7,D,0.0
38.5631,23.2937,307.5,1.0,1.0,2014-03-02,1138,Aqua,MODIS,57,6.03,289.0,8.0,D,0.0
38.5571,23.2842,302.6,1.9,1.3,2014-03-15,1108,Aqua,MODIS,46,6.03,291.4,10.7,D,0.0
38.5338,22.9831,334.4,1.0,1.0,2014-03-18,1138,Aqua,MODIS,88,6.03,300.8,29.0,D,0.0
38.3161,23.6264,307.4,1.1,1.0,2014-03-31,928,Terra,MODIS,45,6.03,296.0,5.0,D,2.0
38.3122,23.6501,309.4,1.1,1.0,2014-03-31,928,Terra,MODIS,62,6.03,295.6,6.7,D,2.0
38.4487,23.5526,308.2,1.0,1.0,2014-04-12,1132,Aqua,MODIS,50,6.03,297.6,5.2,D,0.0
38.5654,23.3005,306.3,1.3,1.1,2014-04-30,940,Terra,MODIS,0,6.03,291.9,6.3,D,0.0
38.3083,23.6487,311.5,1.2,1.1,2014-04-30,1120,Aqua,MODIS,38,6.03,297.0,7.9,D,2.0
38.0541,23.5046,316.7,1.3,1.1,2014-04-30,1120,Aqua,MODIS,52,6.03,299.4,11.8,D,2.0
38.0646,23.6364,317.4,1.1,1.0,2014-05-02,928,Terra,MODIS,52,6.03,303.9,7.2,D,2.0
38.3121,23.6248,316.5,1.1,1.0,2014-05-07,1126,Aqua,MODIS,36,6.03,301.6,9.5,D,0.0
38.5623,23.2957,314.6,1.0,1.0,2014-05-11,922,Terra,MODIS,37,6.03,301.1,4.7,D,0.0
38.3105,23.6229,322.7,1.0,1.0,2014-05-14,1132,Aqua,MODIS,75,6.03,305.1,9.7,D,0.0
38.3144,23.6236,325.6,1.0,1.0,2014-05-27,922,Terra,MODIS,77,6.03,306.9,10.4,D,2.0
38.3157,23.626,317.6,1.0,1.0,2014-06-05,916,Terra,MODIS,35,6.03,301.7,7.5,D,2.0
