latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.0679,23.5185,316.4,1,1,2019-05-09,0922,Terra,MODIS,56,6.03,301.1,5.4,D,2
38.3113,23.6215,315.7,1,1,2019-05-12,1132,Aqua,MODIS,30,6.03,301.7,4.6,D,0
38.3172,23.6248,321.1,1.2,1.1,2019-05-23,0934,Terra,MODIS,72,6.03,306.2,11.6,D,2
38.3152,23.6233,324.1,1,1,2019-05-28,1132,Aqua,MODIS,69,6.03,310.2,8.9,D,2
37.8611,23.9345,301.4,1.9,1.4,2019-05-28,2057,Terra,MODIS,41,6.03,290.2,12.9,N,0
38.3156,23.619,323.3,1.3,1.1,2019-05-30,1119,Aqua,MODIS,60,6.03,307.4,10.7,D,2
38.3166,23.6263,323.9,1.2,1.1,2019-06-08,0934,Terra,MODIS,62,6.03,307.7,9.4,D,2
37.899,22.9286,330.3,1.4,1.2,2019-06-09,1156,Aqua,MODIS,78,6.03,309.2,18.4,D,0
37.9006,22.9441,330.7,1.4,1.2,2019-06-09,1156,Aqua,MODIS,78,6.03,310,18.4,D,0
38.3138,23.6173,328.5,1,1,2019-06-20,1138,Aqua,MODIS,77,6.03,307.9,9.7,D,2
37.8063,23.8983,331.2,1.8,1.3,2019-06-22,0946,Terra,MODIS,76,6.03,302.9,42.3,D,0
37.8026,23.916,326.1,1.8,1.3,2019-06-22,0946,Terra,MODIS,60,6.03,302.5,27,D,0
37.8013,23.9021,347.8,1.8,1.3,2019-06-22,0946,Terra,MODIS,93,6.03,303.4,107.8,D,0
37.7946,23.8951,323.4,1.8,1.3,2019-06-22,0947,Terra,MODIS,54,6.03,301.7,22.1,D,0
37.7907,23.9145,323,1.8,1.3,2019-06-22,0947,Terra,MODIS,67,6.03,303.8,20.8,D,0
38.0047,24.4523,324.2,1,1,2019-06-26,2026,Terra,MODIS,100,6.03,298.4,19.7,N,3
38.3113,23.6182,324.7,1,1,2019-06-29,1131,Aqua,MODIS,66,6.03,306.5,6.4,D,0
38.0582,23.6284,328.8,2.9,1.6,2019-06-30,1214,Aqua,MODIS,81,6.03,306.4,71.1,D,2
38.0561,23.6363,338.6,2.9,1.6,2019-06-30,1214,Aqua,MODIS,83,6.03,305.9,138.8,D,2
38.0722,23.6386,325.8,1.4,1.2,2019-07-01,0940,Terra,MODIS,65,6.03,309.6,16.9,D,2
38.3126,23.6195,323.9,1.3,1.1,2019-07-01,1119,Aqua,MODIS,72,6.03,308.6,10.5,D,2
37.9105,22.8575,326,1,1,2019-07-06,1137,Aqua,MODIS,53,6.03,309.6,7.5,D,0
38.0343,23.6104,320.7,1.6,1.3,2019-07-16,0857,Terra,MODIS,41,6.03,301.1,13.9,D,2
38.3173,23.6279,324.4,1.2,1.1,2019-07-26,0934,Terra,MODIS,63,6.03,308.3,8.5,D,2
37.8137,23.9758,327.7,1.1,1,2019-07-29,1143,Aqua,MODIS,69,6.03,313.5,9.7,D,2
38.3131,23.6252,330.8,1,1,2019-07-31,1131,Aqua,MODIS,79,6.03,307.3,11.9,D,2
38.3111,23.6233,326.5,1.2,1.1,2019-08-11,0934,Terra,MODIS,76,6.03,310.2,11.5,D,0
37.9761,23.8162,342.6,1.8,1.3,2019-08-12,0052,Aqua,MODIS,100,6.03,297.5,104.6,N,0
37.9717,23.8373,414.4,1.8,1.3,2019-08-12,0052,Aqua,MODIS,100,6.03,311.9,814.2,N,2
37.9673,23.8584,309.1,1.8,1.3,2019-08-12,0052,Aqua,MODIS,71,6.03,297.7,14.3,N,2
37.9761,23.8325,380.7,1.8,1.3,2019-08-12,0052,Aqua,MODIS,100,6.03,302.6,358.8,N,0
37.9717,23.8544,327.4,1.8,1.3,2019-08-12,0052,Aqua,MODIS,100,6.03,298.9,53.4,N,2
