name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Aspropyrgos,38.06,23.59,2019-05-01,0,15,12,WNW,58,10
Aspropyrgos,38.06,23.59,2019-05-01,300,15,13,WNW,57,10
Aspropyrgos,38.06,23.59,2019-05-01,600,14,10,WNW,46,10
Aspropyrgos,38.06,23.59,2019-05-01,900,18,9,W,32,10
Aspropyrgos,38.06,23.59,2019-05-01,1200,21,12,SW,30,10
Aspropyrgos,38.06,23.59,2019-05-01,1500,21,15,SSW,34,10
Aspropyrgos,38.06,23.59,2019-05-01,1800,18,12,WSW,50,10
Aspropyrgos,38.06,23.59,2019-05-01,2100,15,11,WNW,51,10
Aspropyrgos,38.06,23.59,2019-05-02,0,14,13,WNW,57,10
Aspropyrgos,38.06,23.59,2019-05-02,300,13,12,WNW,64,10
Aspropyrgos,38.06,23.59,2019-05-02,600,14,13,WNW,54,10
Aspropyrgos,38.06,23.59,2019-05-02,900,19,10,NW,38,10
Aspropyrgos,38.06,23.59,2019-05-02,1200,22,9,W,33,10
Aspropyrgos,38.06,23.59,2019-05-02,1500,21,11,SSW,35,10
Aspropyrgos,38.06,23.59,2019-05-02,1800,19,12,SSW,49,10
Aspropyrgos,38.06,23.59,2019-05-02,2100,17,9,SW,62,10
Aspropyrgos,38.06,23.59,2019-05-03,0,15,9,W,67,10
Aspropyrgos,38.06,23.59,2019-05-03,300,14,11,WNW,70,10
Aspropyrgos,38.06,23.59,2019-05-03,600,15,10,WNW,57,10
Aspropyrgos,38.06,23.59,2019-05-03,900,20,9,W,39,10
Aspropyrgos,38.06,23.59,2019-05-03,1200,23,13,SW,35,10
Aspropyrgos,38.06,23.59,2019-05-03,1500,22,19,SSW,44,10
Aspropyrgos,38.06,23.59,2019-05-03,1800,19,17,S,55,10
Aspropyrgos,38.06,23.59,2019-05-03,2100,18,9,S,60,10
Aspropyrgos,38.06,23.59,2019-05-04,0,17,5,SSW,64,10
Aspropyrgos,38.06,23.59,2019-05-04,300,16,3,WSW,67,10
Aspropyrgos,38.06,23.59,2019-05-04,600,16,5,W,55,10
Aspropyrgos,38.06,23.59,2019-05-04,900,18,9,WSW,51,10
Aspropyrgos,38.06,23.59,2019-05-04,1200,17,13,SSW,63,10
