name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
Skourta,38.21,23.55,2019-05-01,0,15,14,WNW,60,10
Skourta,38.21,23.55,2019-05-01,300,14,15,WNW,58,10
Skourta,38.21,23.55,2019-05-01,600,14,12,WNW,46,10
Skourta,38.21,23.55,2019-05-01,900,18,9,WNW,33,10
Skourta,38.21,23.55,2019-05-01,1200,21,12,WSW,30,10
Skourta,38.21,23.55,2019-05-01,1500,20,15,SW,35,10
Skourta,38.21,23.55,2019-05-01,1800,18,12,W,50,10
Skourta,38.21,23.55,2019-05-01,2100,15,13,WNW,52,10
Skourta,38.21,23.55,2019-05-02,0,14,15,WNW,58,10
Skourta,38.21,23.55,2019-05-02,300,13,14,WNW,64,10
Skourta,38.21,23.55,2019-05-02,600,13,15,WNW,54,10
Skourta,38.21,23.55,2019-05-02,900,18,12,NW,38,10
Skourta,38.21,23.55,2019-05-02,1200,21,10,W,32,10
Skourta,38.21,23.55,2019-05-02,1500,21,10,SW,34,10
Skourta,38.21,23.55,2019-05-02,1800,19,11,SW,48,10
Skourta,38.21,23.55,2019-05-02,2100,17,10,WSW,63,10
Skourta,38.21,23.55,2019-05-03,0,15,10,W,67,10
Skourta,38.21,23.55,2019-05-03,300,14,12,WNW,70,10
Skourta,38.21,23.55,2019-05-03,600,14,12,WNW,57,10
Skourta,38.21,23.55,2019-05-03,900,20,10,W,40,10
Skourta,38.21,23.55,2019-05-03,1200,22,12,SW,35,10
Skourta,38.21,23.55,2019-05-03,1500,21,18,S,45,10
Skourta,38.21,23.55,2019-05-03,1800,19,13,S,55,10
Skourta,38.21,23.55,2019-05-03,2100,18,7,S,59,10
Skourta,38.21,23.55,2019-05-04,0,17,4,SSW,62,10
Skourta,38.21,23.55,2019-05-04,300,16,4,W,64,10
Skourta,38.21,23.55,2019-05-04,600,15,6,WNW,54,10
Skourta,38.21,23.55,2019-05-04,900,18,9,W,50,10
Skourta,38.21,23.55,2019-05-04,1200,16,12,SSW,62,10
Skourta,38.21,23.55,2019-05-04,1500,18,12,S,56,10
Skourta,38.21,23.55,2019-05-04,1800,16,13,SSE,58,10
Skourta,38.21,23.55,2019-05-04,2100,15,17,SSE,66,10
Skourta,38.21,23.55,2019-05-05,0,15,10,SSE,73,10
Skourta,38.21,23.55,2019-05-05,300,14,12,SSE,82,10
Skourta,38.21,23.55,2019-05-05,600,15,12,SSE,67,10
Skourta,38.21,23.55,2019-05-05,900,20,16,SSE,52,10
Skourta,38.21,23.55,2019-05-05,1200,22,27,SSE,55,10
Skourta,38.21,23.55,2019-05-05,1500,21,25,S,66,9
Skourta,38.21,23.55,2019-05-05,1800,20,11,SW,79,10
Skourta,38.21,23.55,2019-05-05,2100,19,10,W,77,10
Skourta,38.21,23.55,2019-05-06,0,17,12,W,75,10
Skourta,38.21,23.55,2019-05-06,300,15,12,W,74,10
Skourta,38.21,23.55,2019-05-06,600,15,15,W,57,10
Skourta,38.21,23.55,2019-05-06,900,19,17,W,40,10
Skourta,38.21,23.55,2019-05-06,1200,22,15,WSW,33,10
Skourta,38.21,23.55,2019-05-06,1500,21,26,WSW,26,10
Skourta,38.21,23.55,2019-05-06,1800,18,24,W,49,10
Skourta,38.21,23.55,2019-05-06,2100,14,24,W,56,10
Skourta,38.21,23.55,2019-05-07,0,13,19,WSW,58,10
Skourta,38.21,23.55,2019-05-07,300,13,16,WSW,59,10
Skourta,38.21,23.55,2019-05-07,600,14,17,WSW,52,10
Skourta,38.21,23.55,2019-05-07,900,18,22,W,42,10
Skourta,38.21,23.55,2019-05-07,1200,19,23,WNW,37,10
Skourta,38.21,23.55,2019-05-07,1500,19,22,WNW,40,10
Skourta,38.21,23.55,2019-05-07,1800,16,20,WNW,51,10
Skourta,38.21,23.55,2019-05-07,2100,15,15,NW,60,10
Skourta,38.21,23.55,2019-05-08,0,14,12,NW,64,10
Skourta,38.21,23.55,2019-05-08,300,13,11,NW,68,10
Skourta,38.21,23.55,2019-05-08,600,13,9,NW,57,10
Skourta,38.21,23.55,2019-05-08,900,17,7,NW,43,10
Skourta,38.21,23.55,2019-05-08,1200,19,5,WSW,41,10
Skourta,38.21,23.55,2019-05-08,1500,18,10,S,47,10
Skourta,38.21,23.55,2019-05-08,1800,17,12,SSE,63,10
Skourta,38.21,23.55,2019-05-08,2100,15,13,S,70,10
Skourta,38.21,23.55,2019-05-09,0,15,6,S,75,10
Skourta,38.21,23.55,2019-05-09,300,14,4,SW,80,10
Skourta,38.21,23.55,2019-05-09,600,15,3,WSW,68,10
Skourta,38.21,23.55,2019-05-09,900,17,6,SW,56,10
Skourta,38.21,23.55,2019-05-09,1200,20,14,S,52,10
Skourta,38.21,23.55,2019-05-09,1500,19,19,S,52,10
Skourta,38.21,23.55,2019-05-09,1800,17,13,S,60,10
Skourta,38.21,23.55,2019-05-09,2100,17,8,SSW,61,10
Skourta,38.21,23.55,2019-05-10,0,16,8,WSW,64,10
Skourta,38.21,23.55,2019-05-10,300,16,13,WNW,60,10
Skourta,38.21,23.55,2019-05-10,600,16,13,WNW,50,10
Skourta,38.21,23.55,2019-05-10,900,20,10,W,40,10
Skourta,38.21,23.55,2019-05-10,1200,24,9,SW,38,10
Skourta,38.21,23.55,2019-05-10,1500,23,11,S,43,10
Skourta,38.21,23.55,2019-05-10,1800,20,10,SSE,55,10
Skourta,38.21,23.55,2019-05-10,2100,19,6,ESE,63,10
Skourta,38.21,23.55,2019-05-11,0,18,4,S,67,10
Skourta,38.21,23.55,2019-05-11,300,16,4,N,71,10
Skourta,38.21,23.55,2019-05-11,600,17,6,WSW,60,10
Skourta,38.21,23.55,2019-05-11,900,21,6,NNE,45,10
Skourta,38.21,23.55,2019-05-11,1200,23,7,ENE,42,10
Skourta,38.21,23.55,2019-05-11,1500,22,12,SE,49,10
Skourta,38.21,23.55,2019-05-11,1800,20,15,SSE,63,10
Skourta,38.21,23.55,2019-05-11,2100,20,9,S,68,10
Skourta,38.21,23.55,2019-05-12,0,18,5,SSW,69,10
Skourta,38.21,23.55,2019-05-12,300,17,4,SSW,71,10
Skourta,38.21,23.55,2019-05-12,600,18,4,SSW,58,10
Skourta,38.21,23.55,2019-05-12,900,21,9,S,49,10
Skourta,38.21,23.55,2019-05-12,1200,23,13,SSE,46,10
Skourta,38.21,23.55,2019-05-12,1500,22,16,SSE,45,10
Skourta,38.21,23.55,2019-05-12,1800,20,13,SSE,57,10
Skourta,38.21,23.55,2019-05-12,2100,19,12,SSE,63,10
Skourta,38.21,23.55,2019-05-13,0,17,10,SE,68,10
Skourta,38.21,23.55,2019-05-13,300,16,9,SE,72,10
Skourta,38.21,23.55,2019-05-13,600,17,6,SE,56,10
Skourta,38.21,23.55,2019-05-13,900,20,12,SSE,46,9
Skourta,38.21,23.55,2019-05-13,1200,22,15,SSE,42,10
Skourta,38.21,23.55,2019-05-13,1500,21,19,SSE,43,10
Skourta,38.21,23.55,2019-05-13,1800,20,16,SE,53,10
Skourta,38.21,23.55,2019-05-13,2100,19,12,SE,64,10
Skourta,38.21,23.55,2019-05-14,0,18,6,ESE,69,10
Skourta,38.21,23.55,2019-05-14,300,18,5,E,69,10
Skourta,38.21,23.55,2019-05-14,600,17,8,E,66,10
Skourta,38.21,23.55,2019-05-14,900,20,10,ESE,56,10
Skourta,38.21,23.55,2019-05-14,1200,22,18,SSE,58,10
Skourta,38.21,23.55,2019-05-14,1500,21,20,S,64,10
Skourta,38.21,23.55,2019-05-14,1800,19,19,SSE,79,10
Skourta,38.21,23.55,2019-05-14,2100,19,10,SSE,81,10
Skourta,38.21,23.55,2019-05-15,0,18,3,SSW,81,10
Skourta,38.21,23.55,2019-05-15,300,17,3,WNW,77,10
Skourta,38.21,23.55,2019-05-15,600,16,6,NW,54,10
Skourta,38.21,23.55,2019-05-15,900,20,7,W,46,10
Skourta,38.21,23.55,2019-05-15,1200,21,8,SSE,50,10
Skourta,38.21,23.55,2019-05-15,1500,21,15,SSE,55,10
Skourta,38.21,23.55,2019-05-15,1800,20,13,SSE,66,10
Skourta,38.21,23.55,2019-05-15,2100,18,7,SSW,67,10
Skourta,38.21,23.55,2019-05-16,0,17,3,SSW,65,10
Skourta,38.21,23.55,2019-05-16,300,16,6,WNW,67,10
Skourta,38.21,23.55,2019-05-16,600,17,8,WNW,57,10
Skourta,38.21,23.55,2019-05-16,900,21,9,W,48,10
Skourta,38.21,23.55,2019-05-16,1200,23,12,SW,41,10
Skourta,38.21,23.55,2019-05-16,1500,22,14,S,44,10
Skourta,38.21,23.55,2019-05-16,1800,20,12,S,54,10
Skourta,38.21,23.55,2019-05-16,2100,20,6,SW,56,10
Skourta,38.21,23.55,2019-05-17,0,18,6,WNW,60,10
Skourta,38.21,23.55,2019-05-17,300,17,7,NNW,65,10
Skourta,38.21,23.55,2019-05-17,600,16,6,NNW,56,9
Skourta,38.21,23.55,2019-05-17,900,20,5,NW,47,9
Skourta,38.21,23.55,2019-05-17,1200,23,4,SW,45,10
Skourta,38.21,23.55,2019-05-17,1500,23,5,E,50,10
Skourta,38.21,23.55,2019-05-17,1800,21,6,SSE,58,10
Skourta,38.21,23.55,2019-05-17,2100,20,5,SW,64,10
Skourta,38.21,23.55,2019-05-18,0,18,8,WNW,65,10
Skourta,38.21,23.55,2019-05-18,300,17,9,WNW,66,10
