,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
0,Dioni,38.023,23.933,2019-05-01,0,16,12,315,59,10
1,Dioni,38.023,23.933,2019-05-01,300,14,12,315,59,10
2,Dioni,38.023,23.933,2019-05-01,600,14,9,315,47,10
3,Dioni,38.023,23.933,2019-05-01,900,18,8,270,34,10
4,Dioni,38.023,23.933,2019-05-01,1200,20,11,45,34,10
5,Dioni,38.023,23.933,2019-05-01,1500,20,15,205,35,10
6,Dioni,38.023,23.933,2019-05-01,1800,17,10,45,52,10
7,Dioni,38.023,23.933,2019-05-01,2100,15,10,270,51,10
8,Dioni,38.023,23.933,2019-05-02,0,15,15,270,57,10
9,Dioni,38.023,23.933,2019-05-02,300,13,14,315,64,10
10,Dioni,38.023,23.933,2019-05-02,600,14,11,315,54,10
11,Dioni,38.023,23.933,2019-05-02,900,18,9,315,40,10
12,Dioni,38.023,23.933,2019-05-02,1200,20,9,45,40,10
13,Dioni,38.023,23.933,2019-05-02,1500,20,10,205,39,10
14,Dioni,38.023,23.933,2019-05-02,1800,19,10,180,51,10
15,Dioni,38.023,23.933,2019-05-02,2100,17,8,205,61,10
16,Dioni,38.023,23.933,2019-05-03,0,15,8,45,66,10
17,Dioni,38.023,23.933,2019-05-03,300,14,9,270,70,10
18,Dioni,38.023,23.933,2019-05-03,600,15,9,315,57,10
19,Dioni,38.023,23.933,2019-05-03,900,20,8,270,40,10
20,Dioni,38.023,23.933,2019-05-03,1200,22,14,225,42,10
21,Dioni,38.023,23.933,2019-05-03,1500,21,19,205,44,10
22,Dioni,38.023,23.933,2019-05-03,1800,18,18,180,56,10
23,Dioni,38.023,23.933,2019-05-03,2100,17,10,180,63,10
24,Dioni,38.023,23.933,2019-05-04,0,16,6,180,66,10
25,Dioni,38.023,23.933,2019-05-04,300,15,4,205,70,10
26,Dioni,38.023,23.933,2019-05-04,600,16,4,45,57,10
27,Dioni,38.023,23.933,2019-05-04,900,19,8,45,53,10
28,Dioni,38.023,23.933,2019-05-04,1200,17,11,225,54,10
29,Dioni,38.023,23.933,2019-05-04,1500,17,14,205,56,10
30,Dioni,38.023,23.933,2019-05-04,1800,16,15,180,59,10
31,Dioni,38.023,23.933,2019-05-04,2100,16,17,180,70,10
32,Dioni,38.023,23.933,2019-05-05,0,14,9,155,78,10
33,Dioni,38.023,23.933,2019-05-05,300,14,9,155,84,10
34,Dioni,38.023,23.933,2019-05-05,600,15,14,155,68,10
35,Dioni,38.023,23.933,2019-05-05,900,21,19,155,53,10
36,Dioni,38.023,23.933,2019-05-05,1200,21,27,180,61,10
37,Dioni,38.023,23.933,2019-05-05,1500,21,27,180,68,10
38,Dioni,38.023,23.933,2019-05-05,1800,18,14,205,84,10
39,Dioni,38.023,23.933,2019-05-05,2100,18,9,225,84,10
40,Dioni,38.023,23.933,2019-05-06,0,17,9,45,79,10
41,Dioni,38.023,23.933,2019-05-06,300,15,9,270,76,10
42,Dioni,38.023,23.933,2019-05-06,600,15,11,270,58,10
43,Dioni,38.023,23.933,2019-05-06,900,20,15,270,40,10
44,Dioni,38.023,23.933,2019-05-06,1200,21,17,45,35,10
45,Dioni,38.023,23.933,2019-05-06,1500,21,27,225,30,10
46,Dioni,38.023,23.933,2019-05-06,1800,18,25,45,48,10
47,Dioni,38.023,23.933,2019-05-06,2100,14,25,270,55,10
48,Dioni,38.023,23.933,2019-05-07,0,15,21,45,58,10
49,Dioni,38.023,23.933,2019-05-07,300,14,18,45,59,10
50,Dioni,38.023,23.933,2019-05-07,600,14,18,45,53,10
51,Dioni,38.023,23.933,2019-05-07,900,17,22,270,43,10
52,Dioni,38.023,23.933,2019-05-07,1200,19,19,315,43,10
53,Dioni,38.023,23.933,2019-05-07,1500,18,15,315,42,10
54,Dioni,38.023,23.933,2019-05-07,1800,16,10,315,54,10
55,Dioni,38.023,23.933,2019-05-07,2100,15,5,315,61,10
56,Dioni,38.023,23.933,2019-05-08,0,14,5,315,65,10
57,Dioni,38.023,23.933,2019-05-08,300,13,6,315,66,10
58,Dioni,38.023,23.933,2019-05-08,600,13,7,335,54,10
59,Dioni,38.023,23.933,2019-05-08,900,17,7,335,44,10
60,Dioni,38.023,23.933,2019-05-08,1200,18,6,45,46,10
61,Dioni,38.023,23.933,2019-05-08,1500,17,5,135,49,10
62,Dioni,38.023,23.933,2019-05-08,1800,17,11,155,60,10
