,index,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
0,0,Grammatiko,38.203,23.965,2019-05-01,0,16,12,315,59,10
1,1,Grammatiko,38.203,23.965,2019-05-01,300,14,12,315,59,10
2,2,Grammatiko,38.203,23.965,2019-05-01,600,14,9,315,47,10
3,3,Grammatiko,38.203,23.965,2019-05-01,900,18,8,270,34,10
4,4,Grammatiko,38.203,23.965,2019-05-01,1200,20,11,45,34,10
5,5,Grammatiko,38.203,23.965,2019-05-01,1500,20,15,205,35,10
6,6,Grammatiko,38.203,23.965,2019-05-01,1800,17,10,45,52,10
7,7,Grammatiko,38.203,23.965,2019-05-01,2100,15,10,270,51,10
8,8,Grammatiko,38.203,23.965,2019-05-02,0,15,15,270,57,10
9,9,Grammatiko,38.203,23.965,2019-05-02,300,13,14,315,64,10
10,10,Grammatiko,38.203,23.965,2019-05-02,600,14,11,315,54,10
11,11,Grammatiko,38.203,23.965,2019-05-02,900,18,9,315,40,10
12,12,Grammatiko,38.203,23.965,2019-05-02,1200,20,9,45,40,10
13,13,Grammatiko,38.203,23.965,2019-05-02,1500,20,10,205,39,10
14,14,Grammatiko,38.203,23.965,2019-05-02,1800,19,10,180,51,10
15,15,Grammatiko,38.203,23.965,2019-05-02,2100,17,8,205,61,10
16,16,Grammatiko,38.203,23.965,2019-05-03,0,15,8,45,66,10
17,17,Grammatiko,38.203,23.965,2019-05-03,300,14,9,270,70,10
18,18,Grammatiko,38.203,23.965,2019-05-03,600,15,9,315,57,10
19,19,Grammatiko,38.203,23.965,2019-05-03,900,20,8,270,40,10
20,20,Grammatiko,38.203,23.965,2019-05-03,1200,22,14,225,42,10
21,21,Grammatiko,38.203,23.965,2019-05-03,1500,21,19,205,44,10
22,22,Grammatiko,38.203,23.965,2019-05-03,1800,18,18,180,56,10
23,23,Grammatiko,38.203,23.965,2019-05-03,2100,17,10,180,63,10
24,24,Grammatiko,38.203,23.965,2019-05-04,0,16,6,180,66,10
25,25,Grammatiko,38.203,23.965,2019-05-04,300,15,4,205,70,10
26,26,Grammatiko,38.203,23.965,2019-05-04,600,16,4,45,57,10
27,27,Grammatiko,38.203,23.965,2019-05-04,900,19,8,45,53,10
28,28,Grammatiko,38.203,23.965,2019-05-04,1200,17,11,225,54,10
29,29,Grammatiko,38.203,23.965,2019-05-04,1500,17,14,205,56,10
30,30,Grammatiko,38.203,23.965,2019-05-04,1800,16,15,180,59,10
31,31,Grammatiko,38.203,23.965,2019-05-04,2100,16,17,180,70,10
32,32,Grammatiko,38.203,23.965,2019-05-05,0,14,9,155,78,10
33,33,Grammatiko,38.203,23.965,2019-05-05,300,14,9,155,84,10
34,34,Grammatiko,38.203,23.965,2019-05-05,600,15,14,155,68,10
35,35,Grammatiko,38.203,23.965,2019-05-05,900,21,19,155,53,10
36,36,Grammatiko,38.203,23.965,2019-05-05,1200,21,27,180,61,10
37,37,Grammatiko,38.203,23.965,2019-05-05,1500,21,27,180,68,10
38,38,Grammatiko,38.203,23.965,2019-05-05,1800,18,14,205,84,10
39,39,Grammatiko,38.203,23.965,2019-05-05,2100,18,9,225,84,10
40,40,Grammatiko,38.203,23.965,2019-05-06,0,17,9,45,79,10
