,index,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
0,0,Kallitechnoupoli,38.026,23.958,2019-05-01,0,15,12,315,58,10
1,1,Kallitechnoupoli,38.026,23.958,2019-05-01,300,15,13,315,57,10
2,2,Kallitechnoupoli,38.026,23.958,2019-05-01,600,14,10,315,46,10
3,3,Kallitechnoupoli,38.026,23.958,2019-05-01,900,18,9,270,32,10
4,4,Kallitechnoupoli,38.026,23.958,2019-05-01,1200,21,12,225,30,10
5,5,Kallitechnoupoli,38.026,23.958,2019-05-01,1500,21,15,205,34,10
6,6,Kallitechnoupoli,38.026,23.958,2019-05-01,1800,18,12,45,50,10
7,7,Kallitechnoupoli,38.026,23.958,2019-05-01,2100,15,11,315,51,10
8,8,Kallitechnoupoli,38.026,23.958,2019-05-02,0,14,13,315,57,10
9,9,Kallitechnoupoli,38.026,23.958,2019-05-02,300,13,12,315,64,10
10,10,Kallitechnoupoli,38.026,23.958,2019-05-02,600,14,13,315,54,10
11,11,Kallitechnoupoli,38.026,23.958,2019-05-02,900,19,10,315,38,10
12,12,Kallitechnoupoli,38.026,23.958,2019-05-02,1200,22,9,270,33,10
13,13,Kallitechnoupoli,38.026,23.958,2019-05-02,1500,21,11,205,35,10
14,14,Kallitechnoupoli,38.026,23.958,2019-05-02,1800,19,12,205,49,10
15,15,Kallitechnoupoli,38.026,23.958,2019-05-02,2100,17,9,225,62,10
16,16,Kallitechnoupoli,38.026,23.958,2019-05-03,0,15,9,270,67,10
17,17,Kallitechnoupoli,38.026,23.958,2019-05-03,300,14,11,315,70,10
18,18,Kallitechnoupoli,38.026,23.958,2019-05-03,600,15,10,315,57,10
19,19,Kallitechnoupoli,38.026,23.958,2019-05-03,900,20,9,270,39,10
20,20,Kallitechnoupoli,38.026,23.958,2019-05-03,1200,23,13,225,35,10
21,21,Kallitechnoupoli,38.026,23.958,2019-05-03,1500,22,19,205,44,10
22,22,Kallitechnoupoli,38.026,23.958,2019-05-03,1800,19,17,180,55,10
23,23,Kallitechnoupoli,38.026,23.958,2019-05-03,2100,18,9,180,60,10
24,24,Kallitechnoupoli,38.026,23.958,2019-05-04,0,17,5,205,64,10
25,25,Kallitechnoupoli,38.026,23.958,2019-05-04,300,16,3,45,67,10
26,26,Kallitechnoupoli,38.026,23.958,2019-05-04,600,16,5,270,55,10
27,27,Kallitechnoupoli,38.026,23.958,2019-05-04,900,18,9,45,51,10
28,28,Kallitechnoupoli,38.026,23.958,2019-05-04,1200,17,13,205,63,10
29,29,Kallitechnoupoli,38.026,23.958,2019-05-04,1500,18,12,180,55,10
30,30,Kallitechnoupoli,38.026,23.958,2019-05-04,1800,17,14,180,58,10
31,31,Kallitechnoupoli,38.026,23.958,2019-05-04,2100,16,17,155,67,10
32,32,Kallitechnoupoli,38.026,23.958,2019-05-05,0,15,9,155,75,10
33,33,Kallitechnoupoli,38.026,23.958,2019-05-05,300,14,8,155,83,10
34,34,Kallitechnoupoli,38.026,23.958,2019-05-05,600,16,13,155,67,10
35,35,Kallitechnoupoli,38.026,23.958,2019-05-05,900,21,21,155,52,10
36,36,Kallitechnoupoli,38.026,23.958,2019-05-05,1200,22,31,155,56,10
37,37,Kallitechnoupoli,38.026,23.958,2019-05-05,1500,21,26,180,67,10
38,38,Kallitechnoupoli,38.026,23.958,2019-05-05,1800,19,16,205,81,10
39,39,Kallitechnoupoli,38.026,23.958,2019-05-05,2100,20,8,45,80,10
40,40,Kallitechnoupoli,38.026,23.958,2019-05-06,0,18,7,270,77,10
41,41,Kallitechnoupoli,38.026,23.958,2019-05-06,300,15,11,270,74,10
42,42,Kallitechnoupoli,38.026,23.958,2019-05-06,600,15,13,270,56,10
43,43,Kallitechnoupoli,38.026,23.958,2019-05-06,900,20,16,270,39,10
44,44,Kallitechnoupoli,38.026,23.958,2019-05-06,1200,23,21,45,34,10
45,45,Kallitechnoupoli,38.026,23.958,2019-05-06,1500,22,27,45,27,10
46,46,Kallitechnoupoli,38.026,23.958,2019-05-06,1800,19,30,270,48,10
47,47,Kallitechnoupoli,38.026,23.958,2019-05-06,2100,14,25,270,55,10
48,48,Kallitechnoupoli,38.026,23.958,2019-05-07,0,14,21,45,57,10
49,49,Kallitechnoupoli,38.026,23.958,2019-05-07,300,13,17,45,58,10
50,50,Kallitechnoupoli,38.026,23.958,2019-05-07,600,14,18,45,52,10
51,51,Kallitechnoupoli,38.026,23.958,2019-05-07,900,17,22,270,42,10
52,52,Kallitechnoupoli,38.026,23.958,2019-05-07,1200,20,23,315,37,10
53,53,Kallitechnoupoli,38.026,23.958,2019-05-07,1500,19,19,315,40,10
54,54,Kallitechnoupoli,38.026,23.958,2019-05-07,1800,17,17,315,52,10
55,55,Kallitechnoupoli,38.026,23.958,2019-05-07,2100,15,7,315,61,10
56,56,Kallitechnoupoli,38.026,23.958,2019-05-08,0,14,5,315,64,10
57,57,Kallitechnoupoli,38.026,23.958,2019-05-08,300,13,9,315,67,10
58,58,Kallitechnoupoli,38.026,23.958,2019-05-08,600,13,8,335,55,10
59,59,Kallitechnoupoli,38.026,23.958,2019-05-08,900,17,6,315,43,10
60,60,Kallitechnoupoli,38.026,23.958,2019-05-08,1200,19,4,45,42,10
61,61,Kallitechnoupoli,38.026,23.958,2019-05-08,1500,18,9,180,48,10
62,62,Kallitechnoupoli,38.026,23.958,2019-05-08,1800,18,9,155,61,10
63,63,Kallitechnoupoli,38.026,23.958,2019-05-08,2100,15,11,180,69,10
64,64,Kallitechnoupoli,38.026,23.958,2019-05-09,0,15,6,180,74,10
65,65,Kallitechnoupoli,38.026,23.958,2019-05-09,300,14,5,225,79,10
66,66,Kallitechnoupoli,38.026,23.958,2019-05-09,600,15,4,45,67,10
67,67,Kallitechnoupoli,38.026,23.958,2019-05-09,900,18,6,205,56,10
68,68,Kallitechnoupoli,38.026,23.958,2019-05-09,1200,20,14,180,52,10
69,69,Kallitechnoupoli,38.026,23.958,2019-05-09,1500,20,19,180,52,10
70,70,Kallitechnoupoli,38.026,23.958,2019-05-09,1800,18,14,180,61,10
71,71,Kallitechnoupoli,38.026,23.958,2019-05-09,2100,17,9,205,60,10
72,72,Kallitechnoupoli,38.026,23.958,2019-05-10,0,16,9,225,64,10
73,73,Kallitechnoupoli,38.026,23.958,2019-05-10,300,16,11,270,62,10
74,74,Kallitechnoupoli,38.026,23.958,2019-05-10,600,16,11,270,50,10
75,75,Kallitechnoupoli,38.026,23.958,2019-05-10,900,21,9,270,40,10
76,76,Kallitechnoupoli,38.026,23.958,2019-05-10,1200,24,9,225,38,10
77,77,Kallitechnoupoli,38.026,23.958,2019-05-10,1500,23,11,180,43,10
78,78,Kallitechnoupoli,38.026,23.958,2019-05-10,1800,20,11,135,56,10
