,index,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
0,0,Kato Soulion,38.168,24.016,2019-05-01,0,11,10,45,68,10
1,1,Kato Soulion,38.168,24.016,2019-05-01,300,9,9,270,70,10
2,2,Kato Soulion,38.168,24.016,2019-05-01,600,11,8,270,57,10
3,3,Kato Soulion,38.168,24.016,2019-05-01,900,15,6,180,44,10
4,4,Kato Soulion,38.168,24.016,2019-05-01,1200,16,7,135,43,10
5,5,Kato Soulion,38.168,24.016,2019-05-01,1500,16,9,90,43,10
6,6,Kato Soulion,38.168,24.016,2019-05-01,1800,14,5,155,57,10
7,7,Kato Soulion,38.168,24.016,2019-05-01,2100,11,5,225,60,10
8,8,Kato Soulion,38.168,24.016,2019-05-02,0,9,11,45,66,10
9,9,Kato Soulion,38.168,24.016,2019-05-02,300,8,11,270,73,10
10,10,Kato Soulion,38.168,24.016,2019-05-02,600,10,10,315,59,10
11,11,Kato Soulion,38.168,24.016,2019-05-02,900,14,11,315,47,10
12,12,Kato Soulion,38.168,24.016,2019-05-02,1200,16,9,270,48,10
13,13,Kato Soulion,38.168,24.016,2019-05-02,1500,17,8,45,50,10
14,14,Kato Soulion,38.168,24.016,2019-05-02,1800,15,8,90,63,10
15,15,Kato Soulion,38.168,24.016,2019-05-02,2100,12,8,155,63,10
16,16,Kato Soulion,38.168,24.016,2019-05-03,0,10,10,225,71,10
17,17,Kato Soulion,38.168,24.016,2019-05-03,300,9,10,45,77,10
18,18,Kato Soulion,38.168,24.016,2019-05-03,600,12,9,45,61,10
19,19,Kato Soulion,38.168,24.016,2019-05-03,900,17,7,45,44,10
20,20,Kato Soulion,38.168,24.016,2019-05-03,1200,19,9,205,43,10
21,21,Kato Soulion,38.168,24.016,2019-05-03,1500,19,11,155,43,10
22,22,Kato Soulion,38.168,24.016,2019-05-03,1800,16,15,180,57,10
23,23,Kato Soulion,38.168,24.016,2019-05-03,2100,13,9,205,62,10
24,24,Kato Soulion,38.168,24.016,2019-05-04,0,11,7,205,66,10
25,25,Kato Soulion,38.168,24.016,2019-05-04,300,10,8,205,67,10
26,26,Kato Soulion,38.168,24.016,2019-05-04,600,12,7,225,61,10
27,27,Kato Soulion,38.168,24.016,2019-05-04,900,16,9,225,48,10
28,28,Kato Soulion,38.168,24.016,2019-05-04,1200,16,12,205,55,10
29,29,Kato Soulion,38.168,24.016,2019-05-04,1500,15,16,180,62,10
30,30,Kato Soulion,38.168,24.016,2019-05-04,1800,14,17,180,67,10
31,31,Kato Soulion,38.168,24.016,2019-05-04,2100,12,12,180,74,9
32,32,Kato Soulion,38.168,24.016,2019-05-05,0,10,11,180,82,9
33,33,Kato Soulion,38.168,24.016,2019-05-05,300,10,10,155,89,9
34,34,Kato Soulion,38.168,24.016,2019-05-05,600,12,12,155,73,9
35,35,Kato Soulion,38.168,24.016,2019-05-05,900,17,18,180,55,10
36,36,Kato Soulion,38.168,24.016,2019-05-05,1200,20,27,180,61,10
37,37,Kato Soulion,38.168,24.016,2019-05-05,1500,20,27,180,67,10
38,38,Kato Soulion,38.168,24.016,2019-05-05,1800,16,16,205,85,10
39,39,Kato Soulion,38.168,24.016,2019-05-05,2100,14,14,205,90,10
40,40,Kato Soulion,38.168,24.016,2019-05-06,0,12,12,225,87,10
41,41,Kato Soulion,38.168,24.016,2019-05-06,300,10,10,225,82,10
42,42,Kato Soulion,38.168,24.016,2019-05-06,600,12,10,45,66,10
43,43,Kato Soulion,38.168,24.016,2019-05-06,900,17,12,45,50,10
44,44,Kato Soulion,38.168,24.016,2019-05-06,1200,18,15,45,42,10
