,index,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
0,0,Marathonas,38.153,23.963,2019-05-01,0,15,12,315,58,10,0
1,1,Marathonas,38.153,23.963,2019-05-01,300,15,13,315,57,10,0
2,2,Marathonas,38.153,23.963,2019-05-01,600,14,10,315,46,10,0
3,3,Marathonas,38.153,23.963,2019-05-01,900,18,9,270,32,10,0
4,4,Marathonas,38.153,23.963,2019-05-01,1200,21,12,225,30,10,0
5,5,Marathonas,38.153,23.963,2019-05-01,1500,21,15,205,34,10,0
6,6,Marathonas,38.153,23.963,2019-05-01,1800,18,12,45,50,10,0
7,7,Marathonas,38.153,23.963,2019-05-01,2100,15,11,315,51,10,0
8,8,Marathonas,38.153,23.963,2019-05-02,0,14,13,315,57,10,0
9,9,Marathonas,38.153,23.963,2019-05-02,300,13,12,315,64,10,0
10,10,Marathonas,38.153,23.963,2019-05-02,600,14,13,315,54,10,0
11,11,Marathonas,38.153,23.963,2019-05-02,900,19,10,315,38,10,0
12,12,Marathonas,38.153,23.963,2019-05-02,1200,22,9,270,33,10,0
13,13,Marathonas,38.153,23.963,2019-05-02,1500,21,11,205,35,10,0
14,14,Marathonas,38.153,23.963,2019-05-02,1800,19,12,205,49,10,0
15,15,Marathonas,38.153,23.963,2019-05-02,2100,17,9,225,62,10,0
16,16,Marathonas,38.153,23.963,2019-05-03,0,15,9,270,67,10,0
17,17,Marathonas,38.153,23.963,2019-05-03,300,14,11,315,70,10,0
18,18,Marathonas,38.153,23.963,2019-05-03,600,15,10,315,57,10,0
19,19,Marathonas,38.153,23.963,2019-05-03,900,20,9,270,39,10,0
20,20,Marathonas,38.153,23.963,2019-05-03,1200,23,13,225,35,10,0
21,21,Marathonas,38.153,23.963,2019-05-03,1500,22,19,205,44,10,0
22,22,Marathonas,38.153,23.963,2019-05-03,1800,19,17,180,55,10,0
23,23,Marathonas,38.153,23.963,2019-05-03,2100,18,9,180,60,10,0
24,24,Marathonas,38.153,23.963,2019-05-04,0,17,5,205,64,10,0
25,25,Marathonas,38.153,23.963,2019-05-04,300,16,3,45,67,10,0
26,26,Marathonas,38.153,23.963,2019-05-04,600,16,5,270,55,10,0
27,27,Marathonas,38.153,23.963,2019-05-04,900,18,9,45,51,10,0
28,28,Marathonas,38.153,23.963,2019-05-04,1200,17,13,205,63,10,0
29,29,Marathonas,38.153,23.963,2019-05-04,1500,18,12,180,55,10,0
30,30,Marathonas,38.153,23.963,2019-05-04,1800,17,14,180,58,10,0
31,31,Marathonas,38.153,23.963,2019-05-04,2100,16,17,155,67,10,0
32,32,Marathonas,38.153,23.963,2019-05-05,0,15,9,155,75,10,0
33,33,Marathonas,38.153,23.963,2019-05-05,300,14,8,155,83,10,0
34,34,Marathonas,38.153,23.963,2019-05-05,600,16,13,155,67,10,0
35,35,Marathonas,38.153,23.963,2019-05-05,900,21,21,155,52,10,0
36,36,Marathonas,38.153,23.963,2019-05-05,1200,22,31,155,56,10,0
37,37,Marathonas,38.153,23.963,2019-05-05,1500,21,26,180,67,10,0
38,38,Marathonas,38.153,23.963,2019-05-05,1800,19,16,205,81,10,0
39,39,Marathonas,38.153,23.963,2019-05-05,2100,20,8,45,80,10,0
40,40,Marathonas,38.153,23.963,2019-05-06,0,18,7,270,77,10,0
41,41,Marathonas,38.153,23.963,2019-05-06,300,15,11,270,74,10,0
42,42,Marathonas,38.153,23.963,2019-05-06,600,15,13,270,56,10,0
43,43,Marathonas,38.153,23.963,2019-05-06,900,20,16,270,39,10,0
44,44,Marathonas,38.153,23.963,2019-05-06,1200,23,21,45,34,10,0
45,45,Marathonas,38.153,23.963,2019-05-06,1500,22,27,45,27,10,0
46,46,Marathonas,38.153,23.963,2019-05-06,1800,19,30,270,48,10,0
47,47,Marathonas,38.153,23.963,2019-05-06,2100,14,25,270,55,10,0
48,48,Marathonas,38.153,23.963,2019-05-07,0,14,21,45,57,10,0
49,49,Marathonas,38.153,23.963,2019-05-07,300,13,17,45,58,10,0
50,50,Marathonas,38.153,23.963,2019-05-07,600,14,18,45,52,10,0
51,51,Marathonas,38.153,23.963,2019-05-07,900,17,22,270,42,10,0
52,52,Marathonas,38.153,23.963,2019-05-07,1200,20,23,315,37,10,0
53,53,Marathonas,38.153,23.963,2019-05-07,1500,19,19,315,40,10,0
